# From extend_go_genes.pl on Tue Apr 21 11:35:37 2020
# Input = gos_table.txt
# Genes	GO	GO branch
ftsE	GO:0055085	P
fucP	GO:0055085	P
gabP	GO:0055085	P
gadC	GO:0055085	P
galP	GO:0055085	P
garP	GO:0055085	P
gatA	GO:0055085	P
gatB	GO:0055085	P
gdx	GO:0055085	P
gfcE	GO:0055085	P
ghxP	GO:0055085	P
ghxQ	GO:0055085	P
glcA	GO:0055085	P
glnP	GO:0055085	P
glnQ	GO:0055085	P
glpF	GO:0055085	P
glpT	GO:0055085	P
gltI	GO:0055085	P
gltJ	GO:0055085	P
gltK	GO:0055085	P
gltL	GO:0055085	P
gltP	GO:0055085	P
gltS	GO:0055085	P
glvB	GO:0055085	P
glvC	GO:0055085	P
gntP	GO:0055085	P
gntT	GO:0055085	P
gntU	GO:0055085	P
gsiA	GO:0055085	P
gsiB	GO:0055085	P
gsiC	GO:0055085	P
gsiD	GO:0055085	P
gudP	GO:0055085	P
hcaT	GO:0055085	P
hisM	GO:0055085	P
hisP	GO:0055085	P
hisQ	GO:0055085	P
hsrA	GO:0055085	P
htrE	GO:0055085	P
idnT	GO:0055085	P
kdgT	GO:0055085	P
kdpA	GO:0055085	P
kdpB	GO:0055085	P
kdpC	GO:0055085	P
kdpF	GO:0055085	P
kefB	GO:0055085	P
kefC	GO:0055085	P
kgtP	GO:0055085	P
lacY	GO:0055085	P
lamB	GO:0055085	P
leuE	GO:0055085	P
lgoT	GO:0055085	P
livF	GO:0055085	P
livG	GO:0055085	P
livH	GO:0055085	P
livM	GO:0055085	P
lldP	GO:0055085	P
lolD	GO:0055085	P
lplT	GO:0055085	P
lptB	GO:0055085	P
lptF	GO:0055085	P
lptG	GO:0055085	P
lsrA	GO:0055085	P
lsrC	GO:0055085	P
lsrD	GO:0055085	P
lysO	GO:0055085	P
lysP	GO:0055085	P
macA	GO:0055085	P
macB	GO:0055085	P
malE	GO:0055085	P
malF	GO:0055085	P
malG	GO:0055085	P
malX	GO:0055085	P
manX	GO:0055085	P
