node	function
ccmD	6,6.1
ccmE	1,1.6,1.6.15,1.6.15.1
ccmE	2,2.3,2.3.4
ccmF	1,1.6,1.6.15,1.6.15.1
ccmF	6,6.1
ccmG	1,1.6,1.6.15,1.6.15.1
ccmG	2,2.3,2.3.4
ccmG	6,6.1
ccmH	1,1.6,1.6.15,1.6.15.1
ccmH	2,2.3,2.3.4
ccmH	6,6.1
ccp	1,1.4
cdaR	2,2.2,2.2.2
cdaR	3,3.1,3.1.2,3.1.2.2
cdaR	3,3.3,3.3.2
cdd	1,1.7,1.7.33
cdgI	5,5.3
cdh	1
cdsA	1,1.5,1.5.4
cdsA	1,1.6,1.6.1
cdsA	6,6.1
cecR	2,2.2,2.2.2
cecR	3,3.1,3.1.2
cedA	3,3.1,3.1.4
cedA	5,5.1
cfa	1,1.5,1.5.4
chaA	4,4.2,4.2.A
chaA	6,6.1
chaB	3
chaC	5,5.3
chbA	1,1.1,1.1.1
chbA	4,4.4,4.4.A
chbB	1,1.1,1.1.1
chbB	4,4.4,4.4.A
chbC	1,1.1,1.1.1
chbC	4,4.4,4.4.A
chbC	6,6.1
chbF	1,1.1,1.1.1
chbG	1,1.2,1.2.4
chbR	1,1.1,1.1.1
chbR	2,2.2,2.2.2
chbR	3,3.1,3.1.2,3.1.2.2
chbR	3,3.1,3.1.2,3.1.2.3
chbR	3,3.3,3.3.1
cheA	2,2.3,2.3.3
cheA	5,5.3
cheB	2,2.3,2.3.3
cheB	5,5.3
cheR	2,2.3,2.3.3
cheR	5,5.3
cheW	3,3.1,3.1.3,3.1.3.3
cheW	5,5.3
cheY	5,5.3
cheZ	2,2.3,2.3.3
cheZ	5,5.3
chiA	1,1.2
chiP	4,4.1,4.1.B
chiX	2,2.2
cho	2,2.1,2.1.4
cho	5,5.6
cho	5,5.8
chpB	2,2.2,2.2.4
chpB	3,3.1,3.1.3
chpS	5,5.10
cirA	4,4.9.A
cirA	8,8.4
citC	2,2.3,2.3.3
citC	3,3.1,3.1.3,3.1.3.2
citD	1,1.6,1.6.15,1.6.15.4
citD	1,1.7,1.7.1
citE	1,1.7,1.7.1
citF	1,1.7,1.7.1
citG	2,2.3
citT	1,1.1,1.1.1
citT	4,4.2,4.2.A
citT	6,6.1
citX	2,2.3,2.3.3
clcA	4,4.1,4.1.A
clcB	4
clpA	1,1.2,1.2.3
clpA	2,2.3,2.3.4
clpA	2,2.3,2.3.6
clpB	1,1.2,1.2.3
clpB	2,2.3,2.3.4
clpP	1,1.2,1.2.3
clpP	2,2.3,2.3.6
clpP	3,3.1,3.1.3,3.1.3.4
clpP	5,5.5,5.5.2
clpS	1,1.2,1.2.3
clpS	2,2.3,2.3.6
clpX	1,1.2,1.2.3
clpX	2,2.3,2.3.4
clpX	2,2.3,2.3.6
clsA	1,1.6,1.6.1
clsA	5,5.6,5.6.4
clsA	6,6.1
clsB	1,1.6,1.6.1
clsC	1,1.6,1.6.1
cmk	1,1.5,1.5.2,1.5.2.4
cmk	1,1.7,1.7.33
cmoA	2,2.2,2.2.3
cmoA	2,2.2,2.2.5
cmoB	2,2.2,2.2.3
cmoB	2,2.2,2.2.5
cmoM	2,2.2,2.2.3
cmoM	2,2.2,2.2.5
cmtA	4,4.4,4.4.A
cmtB	4,4.4,4.4.A
cnoX	2,2.3,2.3.4
cnu	3
coaA	1,1.5,1.5.3,1.5.3.5
coaD	1,1.5,1.5.3,1.5.3.5
coaE	1,1.5,1.5.3,1.5.3.5
cobB	3
cobC	1,1.5,1.5.3,1.5.3.13
cobS	1,1.5,1.5.3,1.5.3.13
cobT	1,1.5,1.5.3,1.5.3.13
cobU	1,1.5,1.5.3,1.5.3.13
codA	1,1.7,1.7.33
codB	1,1.7,1.7.33
codB	4,4.2,4.2.A
codB	6,6.1
cof	1,1.5,1.5.3,1.5.3.8
comR	3,3.1,3.1.2
copA	4
corA	4,4.9.A
corA	6,6.1
cpdA	3,3.1,3.1.3,3.1.3.4
cpdB	1,1.7,1.7.33
