source,target,score
ArcA,IscR,0.030303030303030304
ArcA,LacI,0.0
ArcA,LeuO,0.0
ArcA,LexA,0.03125
ArcA,LldR,0.03333333333333333
ArcA,Lrp,0.05263157894736842
ArcA,LsrR,0.0
ArcA,MalI,0.0
ArcA,MalT,0.0
ArcA,MarA,0.0
ArcA,MarR,0.0
ArcA,McbR,0.0
ArcA,MelR,0.0
ArcA,MetJ,0.0
ArcA,MetR,0.0
ArcA,MhpR,0.0
ArcA,Mlc,0.0
ArcA,MlrA,0.0
ArcA,ModE,0.02702702702702703
ArcA,MqsA,0.0
ArcA,MraZ,0.0
ArcA,MurR,0.0
ArcA,Nac,0.0
ArcA,NagC,0.0
ArcA,NanR,0.0
ArcA,NarL,0.13636363636363635
ArcA,NarP,0.02702702702702703
ArcA,NemR,0.0
ArcA,NhaR,0.0
ArcA,NikR,0.0
ArcA,NorR,0.0
ArcA,NrdR,0.0
ArcA,NsrR,0.02857142857142857
ArcA,NtrC,0.029411764705882353
ArcA,OmpR,0.03125
ArcA,OxyR,0.0
ArcA,PaaX,0.0
ArcA,PdhR,0.09375
ArcA,PepA,0.0
ArcA,PhoB,0.0
ArcA,PhoP,0.030303030303030304
ArcA,PrpR,0.0
ArcA,PspF,0.0
ArcA,PurR,0.0
ArcA,PuuR,0.06666666666666667
ArcA,QseB,0.0
ArcA,RbsR,0.0
ArcA,RcdA,0.0
ArcA,RcnR,0.0
ArcA,RcsAB,0.0
ArcA,RcsB,0.0
ArcA,RcsB-BglJ,0.0
ArcA,RelB,0.0
ArcA,RelB-RelE,0.0
ArcA,RhaR,0.0
ArcA,RhaS,0.0
ArcA,Rob,0.0
ArcA,RstA,0.0
ArcA,RtcR,0.0
ArcA,RutR,0.03125
ArcA,SlyA,0.0
ArcA,SoxR,0.0
ArcA,SoxS,0.0
ArcA,SrlR,0.0
ArcA,StpA,0.0
ArcA,TdcA,0.0
ArcA,TdcR,0.0
ArcA,TorR,0.0
ArcA,TreR,0.03333333333333333
ArcA,TyrR,0.0
ArcA,UidR,0.0
ArcA,UlaR,0.0
ArcA,UxuR,0.0
ArcA,XylR,0.0
ArcA,YdeO,0.06666666666666667
ArcA,YiaJ,0.0
ArcA,ZraR,0.0
ArcA,Zur,0.0
ArgP,AcrR,0.0
ArgP,AdiY,0.0
ArgP,AgaR,0.0
ArgP,AppY,0.0
ArgP,AraC,0.0
ArgP,ArcA,0.0
ArgP,ArgP,1.0
ArgP,ArgR,0.0
ArgP,AscG,0.0
ArgP,AtoC,0.0
ArgP,BCCP,0.0
ArgP,BaeR,0.0
ArgP,BasR,0.0
ArgP,BetI,0.0
ArgP,CRP,0.011904761904761904
ArgP,CadC,0.0
ArgP,CaiF,0.0
ArgP,Cbl,0.0
ArgP,CdaR,0.0
ArgP,ChbR,0.0
ArgP,CpxR,0.0
ArgP,Cra,0.0
ArgP,CreB,0.0
ArgP,CsgD,0.0
ArgP,CueR,0.0
ArgP,CusR,0.0
ArgP,CysB,0.0
ArgP,CytR,0.0
ArgP,DcuR,0.0
ArgP,DeoR,0.0
ArgP,DgoR,0.0
ArgP,DnaA,0.5
ArgP,DpiA,0.0
ArgP,DsdC,0.0
ArgP,EvgA,0.0
ArgP,ExuR,0.0
ArgP,FNR,0.0
ArgP,FabR,0.0
ArgP,FadR,0.0
ArgP,FhlA,0.0
ArgP,Fis,0.038461538461538464
ArgP,FlhDC,0.0
ArgP,FliZ,0.0
ArgP,FucR,0.0
ArgP,Fur,0.0
ArgP,GadE,0.0
ArgP,GadE-RcsB,0.0
ArgP,GadX,0.0
ArgP,GalR,0.0
ArgP,GalS,0.0
ArgP,GatR,0.0
ArgP,GcvA,0.0
ArgP,GlaR,0.0
ArgP,GlcC,0.0
ArgP,GlpR,0.0
ArgP,GlrR,0.0
ArgP,GntR,0.0
ArgP,GutM,0.0
ArgP,H-NS,0.04
ArgP,HU,0.0
ArgP,HdfR,0.0
ArgP,HipAB,0.0
ArgP,HipB,0.0
ArgP,HprR,0.0
ArgP,HyfR,0.0
ArgP,HypT,0.0
ArgP,IHF,0.0
ArgP,IclR,0.0
ArgP,IdnR,0.0
ArgP,IscR,0.0
ArgP,LacI,0.0
ArgP,LeuO,0.0
ArgP,LexA,0.0
ArgP,LldR,0.0
ArgP,Lrp,0.0
ArgP,LsrR,0.0
ArgP,MalI,0.0
ArgP,MalT,0.0
ArgP,MarA,0.0
ArgP,MarR,0.0
ArgP,McbR,0.0
ArgP,MelR,0.0
ArgP,MetJ,0.0
ArgP,MetR,0.0
ArgP,MhpR,0.0
ArgP,Mlc,0.0
ArgP,MlrA,0.0
ArgP,ModE,0.0
ArgP,MqsA,0.0
ArgP,MraZ,0.0
ArgP,MurR,0.0
ArgP,Nac,0.0
ArgP,NagC,0.0
ArgP,NanR,0.0
ArgP,NarL,0.0
ArgP,NarP,0.0
ArgP,NemR,0.0
ArgP,NhaR,0.0
ArgP,NikR,0.0
ArgP,NorR,0.0
ArgP,NrdR,0.25
ArgP,NsrR,0.0
ArgP,NtrC,0.0
ArgP,OmpR,0.0
ArgP,OxyR,0.0
ArgP,PaaX,0.0
ArgP,PdhR,0.0
ArgP,PepA,0.0
ArgP,PhoB,0.0
ArgP,PhoP,0.0
ArgP,PrpR,0.0
ArgP,PspF,0.0
ArgP,PurR,0.0
ArgP,PuuR,0.0
ArgP,QseB,0.0
ArgP,RbsR,0.0
ArgP,RcdA,0.0
ArgP,RcnR,0.0
ArgP,RcsAB,0.0
ArgP,RcsB,0.0
ArgP,RcsB-BglJ,0.0
ArgP,RelB,0.0
ArgP,RelB-RelE,0.0
ArgP,RhaR,0.0
ArgP,RhaS,0.0
ArgP,Rob,0.0
ArgP,RstA,0.0
ArgP,RtcR,0.0
ArgP,RutR,0.0
ArgP,SlyA,0.0
ArgP,SoxR,0.0
ArgP,SoxS,0.0
ArgP,SrlR,0.0
ArgP,StpA,0.0
ArgP,TdcA,0.0
ArgP,TdcR,0.0
ArgP,TorR,0.0
ArgP,TreR,0.0
ArgP,TyrR,0.0
ArgP,UidR,0.0
ArgP,UlaR,0.0
ArgP,UxuR,0.0
ArgP,XylR,0.0
ArgP,YdeO,0.0
