source	target
GO:0032787	GO:0019632
GO:1901615	GO:0019632
GO:0000166	GO:0050661
GO:0050662	GO:0050661
GO:0016765	GO:0003849
GO:0016301	GO:0004765
GO:0016773	GO:0004765
GO:0015179	GO:0005302
GO:0015238	GO:0005302
GO:0015173	GO:0005302
GO:0008324	GO:0005302
GO:0015291	GO:0009977
GO:0015450	GO:0009977
GO:0015179	GO:0015192
GO:0015238	GO:0015192
GO:0015173	GO:0015192
GO:0008324	GO:0015192
GO:0015179	GO:0015196
GO:0015238	GO:0015196
GO:0015173	GO:0015196
GO:0008324	GO:0015196
GO:0015801	GO:0015823
GO:0006812	GO:0015823
GO:0015801	GO:0015827
GO:0006812	GO:0015827
GO:0015801	GO:0015828
GO:0006812	GO:0015828
GO:0055085	GO:0071806
GO:0015031	GO:0071806
GO:0004553	GO:0003796
GO:0061783	GO:0003796
GO:0015291	GO:0008490
GO:0015105	GO:0008490
GO:0015103	GO:0015105
GO:0015698	GO:0015699
GO:0015698	GO:0015700
GO:0022857	GO:0022804
GO:0015291	GO:0042960
GO:0015104	GO:0042960
GO:0042221	GO:0046685
GO:0030614	GO:0008794
GO:0030611	GO:0008794
GO:0022824	GO:0004970
GO:0008066	GO:0004970
GO:0007215	GO:0035235
GO:0015802	GO:0015809
GO:0006812	GO:0015809
GO:1903400	GO:0097638
GO:0089718	GO:0097638
GO:0015424	GO:0015426
GO:0015698	GO:0099133
GO:0016798	GO:0004553
GO:0015926	GO:0008422
GO:0008422	GO:0008706
GO:1901135	GO:1901657
GO:0046352	GO:2000892
GO:2000891	GO:2000892
GO:0022804	GO:0008982
GO:0015144	GO:0008982
GO:0016773	GO:0008982
GO:0015766	GO:0015771
GO:0006796	GO:0016310
GO:0022804	GO:0090563
GO:0015144	GO:0090563
GO:0016773	GO:0090563
GO:0090563	GO:0090589
GO:0016620	GO:0004073
GO:0046451	GO:0009089
GO:0009085	GO:0009089
GO:0009092	GO:0009090
GO:0009070	GO:0009090
GO:0019538	GO:0051604
GO:1905475	GO:0090313
GO:1903533	GO:0090313
GO:0016211	GO:0004071
GO:0009067	GO:0006529
GO:0043604	GO:0006529
GO:0072330	GO:0006529
GO:0006528	GO:0006529
GO:0046394	GO:0008652
GO:0006520	GO:0008652
GO:1901566	GO:0008652
GO:0003824	GO:0016874
GO:0016884	GO:0004066
GO:0009064	GO:0006541
GO:0046395	GO:0009063
GO:1901565	GO:0009063
GO:0006520	GO:0009063
GO:0006529	GO:0070981
GO:0070982	GO:0070981
GO:1901700	GO:0043200
GO:0010243	GO:0043200
GO:0001101	GO:0043200
GO:0140101	GO:0004812
GO:0016875	GO:0004812
GO:0004812	GO:0004816
GO:0043039	GO:0006418
GO:0006418	GO:0006421
GO:0009066	GO:0006531
GO:0043648	GO:0006531
GO:0016841	GO:0008797
GO:0008483	GO:0004069
GO:0070547	GO:0004838
GO:0006558	GO:0009094
GO:1902223	GO:0009094
GO:0009095	GO:0009094
GO:0046417	GO:0033585
GO:0009094	GO:0033585
GO:0004812	GO:0004815
GO:0006418	GO:0006422
GO:0042221	GO:0001101
GO:0010038	GO:0010043
GO:0016813	GO:0009015
GO:1901606	GO:0006593
GO:0006591	GO:0006593
GO:0006105	GO:0019545
GO:0006527	GO:0019545
GO:0008483	GO:0043825
GO:0004029	GO:0019145
GO:0016903	GO:0033737
GO:0016811	GO:0009017
GO:0003677	GO:0003684
GO:0005515	GO:0019899
GO:0008410	GO:0008775
GO:0003988	GO:0003985
GO:0016453	GO:0003985
GO:0016408	GO:0003988
GO:0019395	GO:0006635
GO:0009062	GO:0006635
GO:0019626	GO:0043442
GO:0043438	GO:0043442
GO:0046952	GO:0043442
GO:0042979	GO:0008073
GO:0004857	GO:0008073
GO:0031326	GO:0010967
GO:0080090	GO:0010967
GO:0033238	GO:0010967
GO:0044092	GO:0043086
GO:0050790	GO:0043086
GO:0006754	GO:0015986
GO:0015985	GO:0015986
GO:0032555	GO:0032559
GO:0030554	GO:0032559
GO:0044424	GO:0045261
GO:0033178	GO:0045261
GO:0044769	GO:0046961
GO:0036442	GO:0046961
GO:0015078	GO:0046961
GO:0015986	GO:0042777
GO:0044424	GO:0045263
GO:0033177	GO:0045263
GO:0044769	GO:0046933
GO:0019829	GO:0046933
GO:0015078	GO:0046933
GO:0031224	GO:0031225
GO:0008483	GO:0009042
GO:1901607	GO:0009099
GO:0009082	GO:0009099
GO:0006573	GO:0009099
GO:0006523	GO:0042852
GO:0042851	GO:0042852
GO:0016651	GO:0016655
GO:0046857	GO:0050446
GO:0016818	GO:0016462
GO:0016462	GO:0050380
GO:0000987	GO:0000986
GO:0000984	GO:0000986
GO:0031334	GO:2000144
GO:2000142	GO:2000144
GO:0045893	GO:2000144
GO:0048583	GO:2001023
GO:0071709	GO:0043165
GO:0090150	GO:0051205
GO:0044462	GO:1990063
GO:0098796	GO:1990063
GO:0044464	GO:0009986
GO:0060090	GO:0030674
GO:0005515	GO:0030674
GO:0016021	GO:0045203
GO:0031230	GO:0045203
GO:0016310	GO:0006468
GO:0006464	GO:0006468
GO:0016866	GO:0016868
GO:0010033	GO:0071310
GO:0070887	GO:0071310
GO:0016775	GO:0004673
GO:0004672	GO:0004673
GO:0016740	GO:0016772
GO:0004601	GO:0008379
GO:0051920	GO:0008379
GO:0045184	GO:0015031
GO:0015833	GO:0015031
GO:0071702	GO:0015833
GO:0042886	GO:0015833
GO:0035672	GO:0035442
GO:0042938	GO:0035442
GO:0035673	GO:0071916
GO:0016757	GO:0016758
GO:0030244	GO:0090540
GO:0043168	GO:0035438
GO:0030551	GO:0035438
GO:0032561	GO:0035438
GO:0008144	GO:0035438
GO:1902410	GO:0000918
GO:0044459	GO:0009898
GO:0098562	GO:0009898
GO:0051274	GO:0030244
GO:0030243	GO:0030244
GO:0051302	GO:0051782
GO:0048523	GO:0051782
GO:0044464	GO:0060187
GO:0005575	GO:0005576
GO:0004553	GO:0008810
GO:0042710	GO:0044010
GO:1902208	GO:1902210
GO:1902117	GO:1902210
GO:0031346	GO:1902210
GO:0070011	GO:0008237
GO:0006457	GO:0061077
GO:0016614	GO:0008812
GO:0019695	GO:0019285
GO:0031456	GO:0019285
GO:0004029	GO:0008802
GO:0008519	GO:0015220
GO:0005326	GO:0015220
GO:0015101	GO:0015220
GO:0015695	GO:0015871
GO:0015696	GO:0015871
GO:0006836	GO:0015871
